title,url,published_sgt
River Valley Apartments up for sale at S$56 million,https://www.businesstimes.com.sg/property/residential/river-valley-apartments-sale-s56-million,2025-01-06 11:51
"Good Class Bungalow sales volume in 2025 expected to match, if not exceed, last year’s tally",https://www.businesstimes.com.sg/property/residential/good-class-bungalow-sales-volume-2025-expected-match-if-not-exceed-last-years-tally,2025-01-08 13:59
"Don’t spare asset-rich, cash-poor private homeowners from paying higher property taxes",https://www.businesstimes.com.sg/property/residential/dont-spare-asset-rich-cash-poor-private-homeowners-paying-higher-property-taxes,2025-01-13 12:58
"Measured bids for Tengah housing plot, bullish play for Dairy Farm site as developers stay conservative",https://www.businesstimes.com.sg/property/residential/measured-bids-tengah-housing-plot-bullish-play-dairy-farm-site-developers-stay-conservative,2025-01-14 17:47
"HDB to supply 19,600 BTO flats in 2025 amid continued rise in resale prices",https://www.businesstimes.com.sg/property/hdb-supply-19600-bto-flats-2025-amid-continued-rise-resale-prices,2025-01-16 17:00
"Jadescape owner sells unit for S$4.4 million profit after 5 years, topping Q4 resale gains",https://www.businesstimes.com.sg/property/residential/jadescape-owner-sells-unit-s4-4-million-profit-after-5-years-topping-q4-resale-gains,2025-01-21 19:17
HDB resale prices climb 9.7% in 2024; rise is double that of 2023,https://www.businesstimes.com.sg/property/residential/hdb-resale-prices-climb-9-7-2024-rise-double-2023,2025-01-24 09:26
Ditch the VIP inside track at new condo launches,https://www.businesstimes.com.sg/property/residential/ditch-vip-inside-track-new-condo-launches,2025-01-27 11:37
"Two Park Nova units sold in January at near-record prices, one penthouse at S$6,593 psf",https://www.businesstimes.com.sg/property/residential/two-park-nova-units-sold-january-near-record-prices-one-penthouse-s6593-psf,2025-01-31 19:36
Budget wishes for housing: Raise income ceiling and drop mortgage servicing ratio for executive condos,https://www.businesstimes.com.sg/opinion-features/budget-wishes-housing-raise-income-ceiling-and-drop-mortgage-servicing-ratio-executive-condos,2025-02-03 13:01
"MCL Land, CSC Land launch Clementi condo Elta; prices start at about S$2,200 psf",https://www.businesstimes.com.sg/property/residential/mcl-land-csc-land-launch-clementi-condo-elta-prices-start-about-s2200-psf,2025-02-05 15:42
"UOL, SingLand, CapitaLand Development market Tampines mega project Parktown Residence; prices start at S$1.07 million",https://www.businesstimes.com.sg/property/residential/uol-singland-capitaland-development-market-tampines-mega-project-parktown-residence-prices-start-s1,2025-02-06 18:23
Shifting housing demand from Singapore to Johor could offer room to ease ABSD rates,https://www.businesstimes.com.sg/opinion-features/shifting-housing-demand-singapore-johor-could-offer-room-ease-absd-rates,2025-02-10 12:02
Couples buying HDB BTO flats should register ownership in the names of both partners,https://www.businesstimes.com.sg/opinion-features/couples-buying-hdb-bto-flats-should-register-ownership-names-both-partners,2025-02-13 05:00
Is S$2.5 million an affordable price tag for a new leasehold 3-bedroom condo?,https://www.businesstimes.com.sg/opinion-features/s2-5-million-affordable-price-tag-new-leasehold-3-bedroom-condo,2025-02-17 13:11
Boutique agency Vesper Homes positive on Singapore property amid geopolitical unease,https://www.businesstimes.com.sg/property/boutique-agency-vesper-homes-positive-singapore-property-amid-geopolitical-unease,2025-02-24 05:00
Feeling the Fomo in new condo market?  Mind the choppy seas of higher trade tariffs,https://www.businesstimes.com.sg/opinion-features/feeling-fomo-new-condo-market-mind-choppy-seas-higher-trade-tariffs,2025-03-03 11:50
Parktown Residence’s sizzling sales: perks and perils of buying into large integrated developments,https://www.businesstimes.com.sg/opinion-features/parktown-residences-sizzling-sales-perks-and-perils-buying-large-integrated-developments,2025-03-10 13:42
Number of Singapore residents living in private condos doubles over last 15 years,https://www.businesstimes.com.sg/property/number-singapore-residents-living-private-condos-doubles-over-last-15-years,2025-03-10 17:30
Who wants to be a property agent? Rewards could outweigh risks,https://www.businesstimes.com.sg/opinion-features/who-wants-be-property-agent-rewards-could-outweigh-risks,2025-03-24 14:00
Let large families buy new HDB 3Gen flats and enjoy priority for 4- and 5-bedder exec condos,https://www.businesstimes.com.sg/opinion-features/let-large-families-buy-new-hdb-3gen-flats-and-enjoy-priority-4-and-5-bedder-exec-condos,2025-04-07 13:55
Teo Hock Seng’s Old Holland Road bungalow up for auction with S$36 million opening price,https://www.businesstimes.com.sg/property/teo-hock-sengs-old-holland-road-bungalow-auction-s36-million-opening-price,2025-04-18 16:44
Elias Green’s collective sale closes with no bids,https://www.businesstimes.com.sg/property/elias-greens-collective-sale-closes-no-bids,2025-04-22 16:26
S$16 million deal at Leedon Residence tops Q1 gains with seller reaping S$4 million profit,https://www.businesstimes.com.sg/property/s16-million-deal-leedon-residence-tops-q1-gains-seller-reaping-s4-million-profit,2025-04-28 05:00
Mortgagee listings climb in Q1 as interest rate strains hit market: Knight Frank,https://www.businesstimes.com.sg/property/mortgagee-listings-climb-q1-interest-rate-strains-hit-market-knight-frank,2025-04-28 15:14
"Trade tariffs may remove Fomo among new condo buyers, open the way to relax ABSD",https://www.businesstimes.com.sg/opinion-features/trade-tariffs-may-remove-fomo-among-new-condo-buyers-open-way-relax-absd,2025-05-12 15:54
URA puts up second Chuan Grove site for sale; firm bids expected amid steady demand in the area,https://www.businesstimes.com.sg/property/ura-puts-second-chuan-grove-site-sale-firm-bids-expected-amid-steady-demand-area,2025-05-13 16:52
Lornie Road bungalow of late property developer on market with S$82 million guide price,https://www.businesstimes.com.sg/property/lornie-road-bungalow-late-property-developer-market-s82-million-guide-price,2025-05-22 20:21
Hillcrest Arcadia’s S$920 million en bloc tender closes with no bids,https://www.businesstimes.com.sg/property/hillcrest-arcadias-s920-million-en-bloc-tender-closes-no-bids,2025-05-26 16:36
Peirce Hill bungalow owned by wife of 3AC’s Kyle Davies sells for S$37 million,https://www.businesstimes.com.sg/property/peirce-hill-bungalow-owned-wife-3acs-kyle-davies-sells-s37-million,2025-05-27 14:00
"CDL places S$1,132 psf ppr top bid for plot next to Lakeside MRT station",https://www.businesstimes.com.sg/property/cdl-places-s1132-psf-ppr-top-bid-plot-next-lakeside-mrt-station,2025-06-03 17:49
Will deglobalisation and business uncertainty hurt buying power in Good Class Bungalow properties?,https://www.businesstimes.com.sg/opinion-features/will-deglobalisation-and-business-uncertainty-hurt-buying-power-good-class-bungalow-properties,2025-06-09 12:07
"MND to release land on confirmed list for 4,725 private housing units in H2 2025, down 6% from 5,030 units in H1",https://www.businesstimes.com.sg/property/mnd-release-land-confirmed-list-4725-private-housing-units-h2-2025-down-6-5030-units-h1,2025-06-13 09:12
"Consider ideas such as HDB homes, wellness resort for Tyersall Avenue near Singapore Botanic Gardens",https://www.businesstimes.com.sg/opinion-features/consider-ideas-such-hdb-homes-wellness-resort-tyersall-avenue-near-singapore-botanic-gardens,2025-06-16 12:40
Latest GLS programme designed to draw developers back to state tenders,https://www.businesstimes.com.sg/opinion-features/latest-gls-programme-designed-draw-developers-back-state-tenders,2025-06-18 18:28
See the positives in having choice HDB resale flats that transact for over a million dollars each,https://www.businesstimes.com.sg/opinion-features/see-positives-having-choice-hdb-resale-flats-transact-over-million-dollars-each,2025-06-23 11:21
"Draft Master Plan 2025 builds capacity; its success hinges on developers stepping up, skilled migrants bringing dynamism",https://www.businesstimes.com.sg/opinion-features/draft-master-plan-2025-builds-capacity-its-success-hinges-developers-stepping-skilled-migrants,2025-06-25 10:30
"New private homes planned in Paterson, Newton areas",https://www.businesstimes.com.sg/property/new-private-homes-planned-paterson-newton-areas,2025-06-25 10:30
"Frasers, Sekisui, CSC Land consortium tops nine bids for Dunearn Road site with S$1,410 psf ppr bid",https://www.businesstimes.com.sg/property/frasers-sekisui-csc-land-consortium-tops-nine-bids-dunearn-road-site-s1410-psf-ppr-bid,2025-06-26 17:53
GuocoLand’s Dora Chng on flex designs and biodiversity to lure new condo buyers,https://www.businesstimes.com.sg/property/guocolands-dora-chng-flex-designs-and-biodiversity-lure-new-condo-buyers,2025-06-28 07:00
"Tighten en bloc rules, encourage reuse so more private housing blocks stand for over 50 years",https://www.businesstimes.com.sg/opinion-features/columns/tighten-en-bloc-rules-encourage-reuse-so-more-private-housing-blocks-stand-over-50-years,2025-06-30 11:03
Low mortgage rates help; but be cautious in pursuing condo dreams as economic outlook weakens,https://www.businesstimes.com.sg/opinion-features/low-mortgage-rates-help-be-cautious-pursuing-condo-dreams-economic-outlook-weakens,2025-07-07 11:35
Getting real on Good Class Bungalow prices,https://www.businesstimes.com.sg/opinion-features/getting-real-good-class-bungalow-prices,2025-07-11 14:05
Should capital gains tax replace seller’s stamp duty on homes?,https://www.businesstimes.com.sg/opinion-features/should-capital-gains-tax-replace-sellers-stamp-duty-homes,2025-07-14 11:45
Don’t count out CBD homes,https://www.businesstimes.com.sg/opinion-features/dont-count-out-cbd-homes,2025-07-18 10:30
"Firm take-up at UpperHouse and The Robertson Opus with prices averaging about S$3,350 psf",https://www.businesstimes.com.sg/property/firm-take-upperhouse-and-robertson-opus-prices-averaging-about-s3350-psf,2025-07-20 20:39
Hotel Miramar Singapore close to sealing sale at under S$200 million,https://www.businesstimes.com.sg/property/hotel-miramar-singapore-close-sealing-sale-under-s200-million,2025-07-23 15:06
"Sim Lian places ‘bullish’ top bid of S$1,432 psf ppr for Holland Link site",https://www.businesstimes.com.sg/companies-markets/sim-lian-places-bullish-top-bid-s1432-psf-ppr-holland-link-site,2025-07-29 17:51
Is a new 400 sq ft condo home worth buying?,https://www.businesstimes.com.sg/opinion-features/new-400-sq-ft-condo-home-worth-buying,2025-08-04 13:58
"Time to raise income ceilings for buyers of new HDB and EC units, and have bi-annual fixed increases",https://www.businesstimes.com.sg/opinion-features/time-raise-income-ceilings-buyers-new-hdb-and-ec-units-and-have-bi-annual-fixed-increases,2025-08-11 12:15
"Land betterment charges for commercial, residential and industrial uses go up by 0.1% to 1.6% on average",https://www.businesstimes.com.sg/property/land-betterment-charges-commercial-residential-and-industrial-uses-go-0-1-1-6-average,2025-08-29 17:36
Real estate players split on whether seller’s stamp duty hikes will curb speculation: NUS poll,https://www.businesstimes.com.sg/property/real-estate-players-split-whether-sellers-stamp-duty-hikes-will-curb-speculation-nus-poll,2025-09-04 11:09
Tycoon couple Gordon and Celine Tang’s son picks up Second Avenue GCB for S$53 million,https://www.businesstimes.com.sg/property/tycoon-couple-gordon-and-celine-tangs-son-picks-second-avenue-gcb-s53-million,2025-09-04 14:25
"Sing Holdings-Sunway JV tops bids for second Chuan Grove site, eyes amalgamation",https://www.businesstimes.com.sg/property/sing-holdings-sunway-jv-tops-bids-second-chuan-grove-site-eyes-amalgamation,2025-09-04 18:08
"Evia, Gamuda, Ho Lee consortium places top bid of S$1.01 billion, or S$980 psf ppr, for Yishun site",https://www.businesstimes.com.sg/property/evia-gamuda-ho-lee-consortium-places-top-bid-s1-01-billion-or-s980-psf-ppr-yishun-site,2025-09-11 17:41
Insiders should join the back instead of the front of the queue at new condo launches,https://www.businesstimes.com.sg/opinion-features/insiders-should-join-back-instead-front-queue-new-condo-launches,2025-09-15 12:15
Could HDB offer to buy old flats that do not undergo Vers?,https://www.businesstimes.com.sg/opinion-features/could-hdb-offer-buy-old-flats-do-not-undergo-vers,2025-09-29 12:00
"GuocoLand to launch Faber Residence with prices starting at S$1,995 psf",https://www.businesstimes.com.sg/property/guocoland-launch-faber-residence-prices-starting-s1995-psf,2025-09-30 14:47
