title,url,published_sgt
Condo sizes shrank in past 15 years as developers sought to keep prices manageable,https://www.straitstimes.com/singapore/housing/condo-sizes-shrank-in-past-15-years-as-developers-sought-to-keep-prices-manageable,2025-01-30T14:00:00+08:00
HDB handing over long-delayed bus interchange in Bidadari to LTA,https://www.straitstimes.com/singapore/housing/hdb-handing-over-long-delayed-bus-interchange-in-bidadari-to-lta,2025-01-30T11:00:00+08:00
"Rooftop badminton court, sheltered exercise spaces among upcoming facilities in housing estates",https://www.straitstimes.com/singapore/housing/rooftop-badminton-court-sheltered-exercise-spaces-among-upcoming-facilities-in-housing-estates,2025-01-28T11:00:00+08:00
Site of former golf driving range in Toa Payoh East being prepared for new homes,https://www.straitstimes.com/singapore/housing/site-of-former-driving-range-in-toa-payoh-east-being-prepared-for-new-homes,2025-01-24T20:40:00+08:00
Private home prices jumped 2.3 per cent in Q4 2024 on November’s new sales surge,https://www.straitstimes.com/singapore/housing/private-home-prices-jumped-2-3-per-cent-in-q4-2024-on-novembers-new-sales,2025-01-24T10:05:00+08:00
"HDB resale prices up 9.7% in 2024 on back of strong broad-based demand, tighter supply",https://www.straitstimes.com/singapore/housing/hdb-resale-prices-up-9-7-in-2024-more-units-sold,2025-01-24T09:21:00+08:00
Up to $53 billion in construction contracts expected in 2025: BCA,https://www.straitstimes.com/singapore/housing/construction-demand-of-up-to-53-billion-expected-in-2025-bca,2025-01-23T16:35:00+08:00
Last 2 BTO projects delayed by Covid-19 completed,https://www.straitstimes.com/singapore/housing/last-2-bto-projects-delayed-by-covid-19-completed,2025-01-20T12:00:00+08:00
Singapore Govt ‘not averse’ to more property cooling measures if necessary: Desmond Lee,https://www.straitstimes.com/singapore/housing/govt-not-averse-to-more-property-cooling-measures-if-necessary-desmond-lee,2025-01-16T17:00:00+08:00
"Over 50,000 flats to be launched from 2025 to 2027; HDB will exceed earlier target: Desmond Lee",https://www.straitstimes.com/singapore/housing/over-50k-flats-to-be-launched-from-2025-to-2027-spore-will-exceed-5-year-hdb-flat-launch-target,2025-01-16T17:00:00+08:00
December new private home sales fizzle as developers hold back launches over holidays,https://www.straitstimes.com/singapore/housing/december-new-private-home-sales-fizzle-as-developers-hold-back-launches-over-holidays,2025-01-15T19:45:00+08:00
Hong Leong-led group pips two others to place top bid for first Tengah private housing site,https://www.straitstimes.com/singapore/housing/hong-leong-led-group-pips-two-others-to-place-top-bid-for-first-tengah-private-housing-site,2025-01-14T19:37:00+08:00
‘One big family’: Residents move into first assisted-living flats in Bukit Batok,https://www.straitstimes.com/singapore/housing/one-big-family-residents-move-into-first-assisted-living-flats-in-bukit-batok,2025-01-13T05:00:00+08:00
"Roadside parking initiative can be more effective if more people follow instructions, say residents",https://www.straitstimes.com/singapore/housing/roadside-parking-initiative-could-be-much-better-if-more-people-followed-instructions-say-residents,2025-01-10T19:45:00+08:00
